Date,Day,Forecast Orders,Lower 90%,Upper 90%,store_pin,model,generated_at
2025-03-30,Sunday,328,301,354,560068,Prophet,2026-04-12 16:04:49
2025-03-31,Monday,264,239,290,560068,Prophet,2026-04-12 16:04:49
2025-04-01,Tuesday,260,235,288,560068,Prophet,2026-04-12 16:04:49
2025-04-02,Wednesday,266,239,293,560068,Prophet,2026-04-12 16:04:49
2025-04-03,Thursday,258,233,285,560068,Prophet,2026-04-12 16:04:49
2025-04-04,Friday,256,231,283,560068,Prophet,2026-04-12 16:04:49
2025-04-05,Saturday,319,292,347,560068,Prophet,2026-04-12 16:04:49
